"age_grp";"race";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value";"Covar-Int vs Int";"Covar-Int vs Slope";"Covar-Slope vs Slope";"Corr-Int vs Int";"Corr-Int vs Slope";"Corr-Slope vs Slope"
under65;aian;6;50;14;36;41.533503;1.153708;Uncorrelated;4;37;32;41;3.829090;1.429590;2.678454;0.011884;-0.079367;0.037142;-2.136877;0.040879;-0.106996;0.040925;-2.614429;0.013846;1.219692;0.000000;0.000335;1.000000;0.000000;1.000000
under65;aian;6;50;14;36;41.533503;1.153708;Uncorrelated;5;40;35;45;-0.772816;0.768767;-1.005267;0.322808;0.035681;0.018300;1.949762;0.060605;0.115048;0.041405;2.778585;0.009328;0.001231;0.000000;0.077315;1.000000;0.000000;1.000000
under65;aian;6;50;14;36;41.533503;1.153708;Uncorrelated;6;44;38;48;1.142204;0.278057;4.107814;0.000284;-0.007842;0.005869;-1.336186;0.191536;-0.043523;0.019218;-2.264681;0.030918;0.363286;0.000000;0.000034;1.000000;0.000000;1.000000
under65;asian;5;50;12;38;160.038825;4.211548;Uncorrelated;0;NA;NA;NA;-0.930816;0.017263;-53.921080;0.000000;-0.000339;0.001206;-0.281108;0.780383;NA;NA;NA;NA;0.000298;0.000000;0.147298;1.000000;0.000000;1.000000
under65;asian;5;50;12;38;160.038825;4.211548;Uncorrelated;1;25;22;26;-3.176976;1.441999;-2.203174;0.034672;0.089508;0.054343;1.647090;0.109031;0.089846;0.054356;1.652919;0.107831;0.000001;0.000000;0.000126;1.000000;0.000000;1.000000
under65;asian;5;50;12;38;160.038825;4.211548;Uncorrelated;2;28;27;29;2.611898;1.544691;1.690887;0.100284;-0.117238;0.052414;-2.236750;0.032177;-0.206745;0.075501;-2.738311;0.009877;2.079362;0.000000;0.124662;1.000000;0.000000;1.000000
under65;asian;5;50;12;38;160.038825;4.211548;Uncorrelated;3;31;30;35;-2.506506;0.383794;-6.530855;0.000000;0.047872;0.011230;4.262750;0.000159;0.165110;0.053604;3.080176;0.004151;0.002953;0.000000;0.000076;1.000000;0.000000;1.000000
under65;asian;5;50;12;38;160.038825;4.211548;Uncorrelated;4;37;35;39;1.011227;0.353075;2.864058;0.007218;-0.047202;0.008737;-5.402455;0.000006;-0.095074;0.014229;-6.681826;0.000000;2.386071;0.000000;0.169226;1.000000;0.000000;1.000000
under65;asian;5;50;12;38;160.038825;4.211548;Uncorrelated;5;44;40;47;-2.272605;0.411370;-5.524474;0.000004;0.027430;0.008664;3.165908;0.003318;0.074633;0.012305;6.065311;0.000001;0.002747;0.000000;0.000075;1.000000;0.000000;1.000000
under65;black;5;50;12;38;561.112860;14.766128;Uncorrelated;0;NA;NA;NA;0.409644;0.011524;35.548097;0.000000;0.000707;0.000806;0.877524;0.386546;NA;NA;NA;NA;0.000133;0.000000;0.011060;1.000000;0.000000;1.000000
