geography,sex,educ,age_grp,year,month,date,race,rr,var,sd,month_from_start,rr_lower,rr_upper
all,all,all,65andup,2018,2,2018-02-01,multirace,0.4114262911218387,5.254894417570698e-6,0.002292355648142473,2,0.4069577181835668,0.41594393093662496
all,all,all,65andup,2018,3,2018-03-01,multirace,0.44832978493725906,5.514006077106857e-6,0.002348192086927059,3,0.4437508717254635,0.4529559463857051
all,all,all,65andup,2018,4,2018-04-01,multirace,0.3694445185097691,4.75109637557334e-6,0.0021797009830647274,4,0.3651969113370162,0.37374152962361223
all,all,all,65andup,2018,5,2018-05-01,multirace,0.4426880536491008,5.926789334522927e-6,0.0024344998119784126,5,0.4379420578953835,0.4474854819503166
all,all,all,65andup,2018,6,2018-06-01,multirace,0.4220941696925388,5.895618727890438e-6,0.002428089522215035,6,0.41736184253976255,0.4268801551293226
all,all,all,65andup,2018,7,2018-07-01,multirace,0.412434329336877,5.652370765009333e-6,0.002377471506666133,7,0.4078007106919167,0.4171205972813211
all,all,all,65andup,2018,8,2018-08-01,multirace,0.4303778475140241,5.88175613248258e-6,0.0024252332119782997,8,0.42565054464125607,0.43515765212262264
all,all,all,65andup,2018,9,2018-09-01,multirace,0.4215587035089473,5.828899169158755e-6,0.00241431132399257,9,0.41685311314975343,0.42631741229266545
all,all,all,65andup,2018,10,2018-10-01,multirace,0.422782028591729,5.386723571815371e-6,0.002320931617220846,10,0.4182573882577049,0.42735561574827674
all,all,all,65andup,2018,11,2018-11-01,multirace,0.4075294047250112,5.189454296530749e-6,0.0022780373782119445,11,0.403088821729779,0.41201890690696985
all,all,all,65andup,2018,12,2018-12-01,multirace,0.4108115573612654,4.8725130153146615e-6,0.002207376953606851,12,0.4065078008003685,0.4151608784119432
all,all,all,65andup,2019,1,2019-01-01,multirace,0.3647709414544952,4.1524504777677645e-6,0.002037756236100816,13,0.3607987254946616,0.36878688955226785
all,all,all,65andup,2019,2,2019-02-01,multirace,0.42057579956440594,5.218061193014735e-6,0.0022843075959718593,14,0.4161223035972792,0.4250769585050329
all,all,all,65andup,2019,3,2019-03-01,multirace,0.4137779368897671,4.743550606573107e-6,0.002177969376867615,15,0.4095310614340721,0.4180688528416165
all,all,all,65andup,2019,4,2019-04-01,multirace,0.3663310689230012,4.517279749024885e-6,0.002125389317048734,16,0.3621889019891249,0.37052060767532324
all,all,all,65andup,2019,5,2019-05-01,multirace,0.4119490171725015,5.085152019689841e-6,0.002255028163835175,17,0.4075527880042503,0.41639266800358654
all,all,all,65andup,2019,6,2019-06-01,multirace,0.3962314802000047,5.084009233332938e-6,0.002254774763326248,18,0.39183667589671994,0.4006755762262248
all,all,all,65andup,2019,7,2019-07-01,multirace,0.4165086835845606,5.347639404046321e-6,0.0023124963576287684,19,0.4120007630504215,0.4210659276864321
all,all,all,65andup,2019,8,2019-08-01,multirace,0.407070960122794,5.27118237044762e-6,0.0022959055665352657,20,0.4025957663497517,0.411595899474355
all,all,all,65andup,2019,9,2019-09-01,multirace,0.4037940015086485,5.267716241142498e-6,0.0022951505922580544,21,0.39932047145244537,0.4083176478814306
all,all,all,65andup,2019,10,2019-10-01,multirace,0.37310112822503144,4.474768317175695e-6,0.0021153648189321137,22,0.3689779650944509,0.3772703658527625
all,all,all,65andup,2019,11,2019-11-01,multirace,0.38249939142504213,4.5641399255377185e-6,0.0021363847793732568,23,0.37833491362469107,0.38670970923308234
all,all,all,65andup,2019,12,2019-12-01,multirace,0.4287744491794433,4.792470664032888e-6,0.0021891712276642245,24,0.4245050711822712,0.4330867656235743
all,all,all,65andup,2020,1,2020-01-01,multirace,0.3884292203497256,4.16031573604952e-6,0.0020396852051357143,25,0.3844519398975442,0.39244764706273616
all,all,all,65andup,2020,2,2020-02-01,multirace,0.41036150621898965,4.752633796041239e-6,0.0021800536222857545,26,0.4061107700028426,0.4146567346272032
all,all,all,65andup,2020,3,2020-03-01,multirace,0.38614606774091687,4.089040876234004e-6,0.0020221376996223586,27,0.3822029484864269,0.39012986744938216
all,all,all,65andup,2020,4,2020-04-01,multirace,0.3834733111367682,3.5814177605475706e-6,0.0018924634106231937,28,0.3797819643066052,0.3872005365570202
all,all,all,65andup,2020,5,2020-05-01,multirace,0.39199738496834813,4.120296538833464e-6,0.002029851358802773,29,0.3880389977622182,0.39599615169654684
all,all,all,65andup,2020,6,2020-06-01,multirace,0.42769670538186316,5.114302187290064e-6,0.0022614822986904105,30,0.4232870894353206,0.4321522587389276
all,all,all,65andup,2020,7,2020-07-01,multirace,0.411866842838056,4.416530098523846e-6,0.0021015542102272417,31,0.4077683252145271,0.4160065550460381
all,all,all,65andup,2020,8,2020-08-01,multirace,0.4137785750582808,4.42851896238112e-6,0.002104404657469927,32,0.40967443140354626,0.417923834276613
all,all,all,65andup,2020,9,2020-09-01,multirace,0.4256338925383449,4.722127530191522e-6,0.002173045680649977,33,0.42139596211125474,0.4299144433413278
all,all,all,65andup,2020,10,2020-10-01,multirace,0.3950898256012235,4.032751860737836e-6,0.00200817127275983,34,0.3911733509074405,0.3990455125112566
all,all,all,65andup,2020,11,2020-11-01,multirace,0.38131798683326873,3.4417099326765282e-6,0.0018551846087860174,35,0.37769910683179847,0.3849715407119819
all,all,all,65andup,2020,12,2020-12-01,multirace,0.40448892024923294,3.0004267947926116e-6,0.0017321740082314513,36,0.40110806756526685,0.4078982694053345
all,all,all,65andup,2021,1,2021-01-01,multirace,0.4364749462043894,3.303773812479434e-6,0.0018176286233660148,37,0.43292689358007086,0.44005207689618686
all,all,all,65andup,2021,2,2021-02-01,multirace,0.4226042286622587,4.273977972866819e-6,0.0020673601459026965,38,0.41857156671318263,0.426675742658843
all,all,all,65andup,2021,3,2021-03-01,multirace,0.41125907641028153,4.379605169137039e-6,0.0020927506227778406,39,0.4071776724544278,0.4153813909056313
all,all,all,65andup,2021,4,2021-04-01,multirace,0.4560192922852097,5.124242150388129e-6,0.0022636788973677624,40,0.45160399564995246,0.4604777569273161
all,all,all,65andup,2021,5,2021-05-01,multirace,0.43066366847270643,4.720517812878039e-6,0.002172675266319852,41,0.42642620967575107,0.4349432355093724
all,all,all,65andup,2021,6,2021-06-01,multirace,0.39674052149948497,4.528357078859089e-6,0.0021279936745345574,42,0.3925915010929729,0.4009333899523397
all,all,all,65andup,2021,7,2021-07-01,multirace,0.41752377614566705,4.588495783714623e-6,0.002142077445778892,43,0.4133463429495666,0.42174342804868376
all,all,all,65andup,2021,8,2021-08-01,multirace,0.4073517181567728,3.992845576023173e-6,0.0019982105935118983,44,0.4034539928050736,0.4112870990111766
all,all,all,65andup,2021,9,2021-09-01,multirace,0.40753009922689487,3.848819703288721e-6,0.001961840896527728,45,0.4037029746818535,0.4113935051054953
all,all,all,65andup,2021,10,2021-10-01,multirace,0.43498494026607526,4.156819669429437e-6,0.0020388280136954752,46,0.4310071369007049,0.43899945513401456
all,all,all,65andup,2021,11,2021-11-01,multirace,0.41327870889311835,4.038684610435851e-6,0.0020096478822012208,47,0.4093585101911296,0.41723644915703995
all,all,all,65andup,2021,12,2021-12-01,multirace,0.39258071202507,3.614536917545931e-6,0.0019011935507848565,48,0.3888720018753138,0.39632479250467406
all,all,all,65andup,2022,1,2022-01-01,multirace,0.4108323717424198,3.2445332392834926e-6,0.0018012587929788137,49,0.40731703059467234,0.4143780519687151
all,all,all,65andup,2022,2,2022-02-01,multirace,0.4079245715415381,4.0571255904949615e-6,0.002014230768927672,50,0.40399572159695873,0.41189162946967234
all,all,all,65andup,2018,1,2018-01-01,nhopi,0.7891088028991629,6.0631532953349736e-5,0.007786625260878408,1,0.7739936560491256,0.8045191300294422
all,all,all,65andup,2018,2,2018-02-01,nhopi,0.6848470696697897,6.312147594024412e-5,0.00794490251294779,2,0.6694507641858111,0.7005974657534619
all,all,all,65andup,2018,3,2018-03-01,nhopi,0.8625565485257718,7.626556940091344e-5,0.008733016054085406,3,0.8456085526040035,0.8798442223811179
all,all,all,65andup,2018,4,2018-04-01,nhopi,0.8404436375376214,8.169334160604211e-5,0.009038436900595264,4,0.822913703093452,0.8583469994754171
all,all,all,65andup,2018,5,2018-05-01,nhopi,0.7150741662547149,6.967952788322304e-5,0.00834742642274989,5,0.6988989611134074,0.7316237277421049
