"age_grp";"race";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value";"Covar-Int vs Int";"Covar-Int vs Slope";"Covar-Slope vs Slope";"Corr-Int vs Int";"Corr-Int vs Slope";"Corr-Slope vs Slope"
65andup;asian;5;50;12;38;21768.798962;572.863131;Uncorrelated;5;44;39;47;-2.225210;0.272591;-8.163183;0.000000;0.034505;0.005720;6.032577;0.000001;0.086245;0.008178;10.546230;0.000000;0.000061;0.000000;0.000033;1.000000;0.000000;1.000000
65andup;black;4;50;10;40;112111.286253;2802.782156;Uncorrelated;0;NA;NA;NA;0.080501;0.016152;4.983852;0.000016;-0.001019;0.001127;-0.903829;0.372095;NA;NA;NA;NA;0.000261;0.000000;0.000119;1.000000;0.000000;1.000000
65andup;black;4;50;10;40;112111.286253;2802.782156;Uncorrelated;1;25;3;26;-2.789974;1.357111;-2.055818;0.047107;0.113800;0.051122;2.226068;0.032359;0.114819;0.051134;2.245450;0.030973;0.000001;0.000000;0.653688;1.000000;0.000000;1.000000
65andup;black;4;50;10;40;112111.286253;2802.782156;Uncorrelated;2;28;24;29;1.953036;0.338492;5.769818;0.000001;-0.055593;0.010928;-5.087084;0.000012;-0.169393;0.052277;-3.240322;0.002571;1.841751;0.000000;0.000502;1.000000;0.000000;1.000000
65andup;black;4;50;10;40;112111.286253;2802.782156;Uncorrelated;3;34;27;37;-0.835278;0.808510;-1.033108;0.308444;0.026416;0.022399;1.179337;0.246000;0.082009;0.024923;3.290510;0.002244;0.002613;0.000000;0.017377;1.000000;0.000000;1.000000
65andup;black;4;50;10;40;112111.286253;2802.782156;Uncorrelated;4;38;30;48;0.617696;0.131821;4.685868;0.000039;-0.011820;0.002943;-4.016646;0.000287;-0.038236;0.022592;-1.692484;0.099193;0.114577;0.000000;0.000009;1.000000;0.000000;1.000000
65andup;hisp;5;50;12;38;82864.017340;2180.632035;Uncorrelated;0;NA;NA;NA;-0.343385;0.025451;-13.491759;0.000000;0.000086;0.001774;0.048729;0.961429;NA;NA;NA;NA;0.000648;0.000000;5.267890;1.000000;0.000000;1.000000
65andup;hisp;5;50;12;38;82864.017340;2180.632035;Uncorrelated;1;25;21;28;-1.966429;0.497140;-3.955481;0.000382;0.065008;0.017691;3.674557;0.000839;0.064922;0.017780;3.651361;0.000894;0.000003;0.000000;0.004161;1.000000;0.000000;1.000000
65andup;hisp;5;50;12;38;82864.017340;2180.632035;Uncorrelated;2;31;30;32;3.802360;2.400770;1.583809;0.122775;-0.121082;0.073977;-1.636738;0.111188;-0.186090;0.076063;-2.446508;0.019920;0.247148;0.000000;7.503627;1.000000;0.000000;1.000000
65andup;hisp;5;50;12;38;82864.017340;2180.632035;Uncorrelated;3;34;33;35;-4.701380;2.295188;-2.048363;0.048548;0.129028;0.064503;2.000334;0.053748;0.250110;0.098150;2.548252;0.015666;0.000313;0.000000;0.005073;1.000000;0.000000;1.000000
