geography,sex,educ,age_grp,year,month,date,race,rr,var,sd,month_from_start,rr_lower,rr_upper
all,all,all,65andup,2019,1,2019-01-01,asian,0.5457560334053928,1.0349710045194865e-6,0.0010173352468677602,13,0.5437656944918958,0.5477536575320445
all,all,all,65andup,2019,2,2019-02-01,asian,0.5719076383701396,1.1999448827529396e-6,0.0010954199572551797,14,0.5697646403314504,0.5740586966503193
all,all,all,65andup,2019,3,2019-03-01,asian,0.5676665252179323,1.0841627713488138e-6,0.0010412313726299327,15,0.5656293757916981,0.5697110115647055
all,all,all,65andup,2019,4,2019-04-01,asian,0.5402685384045111,1.1149553237859703e-6,0.001055914449084759,16,0.5382029049937227,0.5423420997572488
all,all,all,65andup,2019,5,2019-05-01,asian,0.5331058125500959,1.0976910607688919e-6,0.0010477075263492632,17,0.5310562557467052,0.5351632794064141
all,all,all,65andup,2019,6,2019-06-01,asian,0.5378406153727482,1.1654010089197149e-6,0.0010795374050581643,18,0.5357288786242123,0.5399606761677805
all,all,all,65andup,2019,7,2019-07-01,asian,0.5382349331070189,1.1493339732181693e-6,0.001072069947912994,19,0.5361377723070305,0.5403402971779725
all,all,all,65andup,2019,8,2019-08-01,asian,0.5257647270172509,1.1237240493309396e-6,0.0010600585122204054,20,0.5236911122825729,0.5278465524661591
all,all,all,65andup,2019,9,2019-09-01,asian,0.5246284250344309,1.1403076127967355e-6,0.0010678518683772274,21,0.5225396047863142,0.5267255952142826
all,all,all,65andup,2019,10,2019-10-01,asian,0.5410824039053246,1.0902132255739323e-6,0.0010441327624272367,22,0.5390397689875301,0.5431327791748473
all,all,all,65andup,2019,11,2019-11-01,asian,0.5530163766134236,1.104743768537218e-6,0.0010510679181371765,23,0.5509601158565837,0.5550803116250388
all,all,all,65andup,2019,12,2019-12-01,asian,0.5546022144168978,1.0262048537367196e-6,0.0010130176966552556,24,0.5526202496345544,0.5565912874881631
all,all,all,65andup,2020,1,2020-01-01,asian,0.5663505081611323,1.0074682621051604e-6,0.001003727185098202,25,0.5643866157936285,0.5683212342718951
all,all,all,65andup,2020,2,2020-02-01,asian,0.568905957302955,1.0995632862598405e-6,0.0010486006323953082,26,0.5668544080578563,0.5709649314780627
all,all,all,65andup,2020,3,2020-03-01,asian,0.6044607070036926,1.073398179097154e-6,0.0010360493130624402,27,0.6024334574803071,0.6064947784267901
all,all,all,65andup,2020,4,2020-04-01,asian,0.7779967420884325,1.2351074271810285e-6,0.0011113538712673964,28,0.7758215350196753,0.780178047886831
all,all,all,65andup,2020,5,2020-05-01,asian,0.6277123355389871,1.1118850089255245e-6,0.0010544595814565509,29,0.625648993396884,0.6297824824243893
all,all,all,65andup,2020,6,2020-06-01,asian,0.5903970103895642,1.1789165599694647e-6,0.0010857792409000389,30,0.5882727139649785,0.5925289778061784
all,all,all,65andup,2020,7,2020-07-01,asian,0.5712949658691636,1.0406983674477162e-6,0.0010201462480682445,31,0.5692989741660183,0.5732979556226477
all,all,all,65andup,2020,8,2020-08-01,asian,0.5813980041824302,1.0395880668111464e-6,0.0010196019158530188,32,0.5794030150460014,0.5833998624264595
all,all,all,65andup,2020,9,2020-09-01,asian,0.5563565838625606,1.035487301894367e-6,0.0010175889651005297,33,0.5543656802034524,0.5583546374905817
all,all,all,65andup,2020,10,2020-10-01,asian,0.5237235166771688,8.909224111523466e-7,9.438868635341561e-4,34,0.5218767621133873,0.5255768063133399
all,all,all,65andup,2020,11,2020-11-01,asian,0.5242484096430132,7.910108631277149e-7,8.893879148761326e-4,35,0.522508104314357,0.5259945113652793
all,all,all,65andup,2020,12,2020-12-01,asian,0.6296475269781356,7.898346855293697e-7,8.887264402105801e-4,36,0.6279080304011971,0.6313918424906423
all,all,all,65andup,2021,1,2021-01-01,asian,0.7410025146731143,9.52725883213661e-7,9.76076781413051e-4,37,0.739091871679252,0.7429180969130837
all,all,all,65andup,2021,2,2021-02-01,asian,0.678165054880992,1.1597388334797589e-6,0.001076911711088592,38,0.67605758930694,0.6802790900302045
all,all,all,65andup,2021,3,2021-03-01,asian,0.6293594693932971,1.1153262668362936e-6,0.0010560900846217113,39,0.6272929330653984,0.6314328136607875
all,all,all,65andup,2021,4,2021-04-01,asian,0.5725012985498045,1.0688279834631839e-6,0.001033841372485733,40,0.5704785512590769,0.5745312179008893
all,all,all,65andup,2021,5,2021-05-01,asian,0.552869379474782,1.0231358593983824e-6,0.0010115017841795348,41,0.5508903863505806,0.5548554818422787
all,all,all,65andup,2021,6,2021-06-01,asian,0.5310142566600851,1.0298134235556038e-6,0.0010147972327295752,42,0.5290289745079823,0.5330069889622049
all,all,all,65andup,2021,7,2021-07-01,asian,0.5400370756244308,9.951686824274642e-7,9.97581416440515e-4,43,0.5380853513890694,0.5419958790851995
all,all,all,65andup,2021,8,2021-08-01,asian,0.5127941113202159,8.407329454461567e-7,9.16914906327821e-4,44,0.5110001036059543,0.5145944173965643
all,all,all,65andup,2021,9,2021-09-01,asian,0.5131117320123404,8.241940771311762e-7,9.078513518914735e-4,45,0.5113354251155494,0.5148942095478874
all,all,all,65andup,2021,10,2021-10-01,asian,0.5311420665826185,8.535215578539769e-7,9.238623045962948e-4,46,0.5293343796006751,0.5329559268500137
all,all,all,65andup,2021,11,2021-11-01,asian,0.534474662101396,8.886197789482562e-7,9.426663136806449e-4,47,0.5326302259798614,0.5363254852893052
