"age_grp";"race";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value";"Covar-Int vs Int";"Covar-Int vs Slope";"Covar-Slope vs Slope";"Corr-Int vs Int";"Corr-Int vs Slope";"Corr-Slope vs Slope"
"all_ages";"aian";5;48;12;36;50.001150;1.388921;Uncorrelated;5;46;38;46;2.801568;1.627897;1.720975;0.095223;-0.054299;0.034269;-1.584514;0.123227;-0.079987;0.035133;-2.276660;0.029863;0.000030;0.000000;0.001174;1.000000;0.000000;1.000000
"all_ages";"asian";5;48;12;36;411.792012;11.438667;Uncorrelated;0;NA;NA;NA;-0.664720;0.010797;-61.566528;0.000000;-0.001184;0.000752;-1.573914;0.125659;NA;NA;NA;NA;0.000117;0.000000;1.105762;1.000000;0.000000;1.000000
"all_ages";"asian";5;48;12;36;411.792012;11.438667;Uncorrelated;1;25;21;26;-2.808323;0.888555;-3.160550;0.003506;0.084560;0.033480;2.525658;0.016874;0.085744;0.033489;2.560384;0.015548;0.000001;0.000000;0.000873;1.000000;0.000000;1.000000
"all_ages";"asian";5;48;12;36;411.792012;11.438667;Uncorrelated;2;28;27;29;1.113074;0.228080;4.880198;0.000030;-0.055490;0.007361;-7.538004;0.000000;-0.140050;0.034280;-4.085463;0.000288;0.789530;0.000000;0.157822;1.000000;0.000000;1.000000
"all_ages";"asian";5;48;12;36;411.792012;11.438667;Uncorrelated;3;34;32;35;-4.949897;1.051552;-4.707229;0.000050;0.122833;0.029547;4.157139;0.000236;0.178323;0.030451;5.856132;0.000002;0.001121;0.000000;0.000102;1.000000;0.000000;1.000000
"all_ages";"asian";5;48;12;36;411.792012;11.438667;Uncorrelated;4;37;36;38;2.272998;0.397268;5.721579;0.000003;-0.072381;0.010080;-7.180309;0.000000;-0.195213;0.031220;-6.252909;0.000001;0.052020;0.000000;0.064333;1.000000;0.000000;1.000000
"all_ages";"asian";5;48;12;36;411.792012;11.438667;Uncorrelated;5;42;39;46;-1.173696;0.253639;-4.627424;0.000062;0.009683;0.005563;1.740736;0.091649;0.082064;0.011513;7.127653;0.000000;0.000054;0.000000;0.000031;1.000000;0.000000;1.000000
"all_ages";"black";4;48;10;38;1535.234698;40.400913;Uncorrelated;0;NA;NA;NA;0.179544;0.010447;17.185897;0.000000;-0.000302;0.000729;-0.413826;0.681601;NA;NA;NA;NA;0.000109;0.000000;0.000050;1.000000;0.000000;1.000000
"all_ages";"black";4;48;10;38;1535.234698;40.400913;Uncorrelated;1;25;24;26;-2.232062;0.884328;-2.524020;0.016439;0.096163;0.033317;2.886286;0.006727;0.096464;0.033325;2.894649;0.006586;0.000001;0.000000;0.012400;1.000000;0.000000;1.000000
"all_ages";"black";4;48;10;38;1535.234698;40.400913;Uncorrelated;2;28;27;29;1.554107;0.219291;7.086957;0.000000;-0.039058;0.007077;-5.519104;0.000004;-0.135220;0.034060;-3.970021;0.000353;0.782037;0.000000;0.000008;1.000000;0.000000;1.000000
"all_ages";"black";4;48;10;38;1535.234698;40.400913;Uncorrelated;3;34;30;37;0.050227;0.111357;0.451042;0.654823;0.005174;0.002867;1.804411;0.080032;0.044232;0.007636;5.792773;0.000002;0.001110;0.000000;0.211819;1.000000;0.000000;1.000000
"all_ages";"black";4;48;10;38;1535.234698;40.400913;Uncorrelated;4;44;36;46;2.379630;0.460238;5.170429;0.000010;-0.047767;0.009909;-4.820578;0.000029;-0.052941;0.010316;-5.132170;0.000012;0.048089;0.000000;0.000098;1.000000;0.000000;1.000000
"all_ages";"hisp";5;48;12;36;1655.692067;45.991446;Uncorrelated;0;NA;NA;NA;-0.354532;0.024229;-14.632742;0.000000;0.000629;0.001684;0.373577;0.711261;NA;NA;NA;NA;0.000587;0.000000;4.802511;1.000000;0.000000;1.000000
"all_ages";"hisp";5;48;12;36;1655.692067;45.991446;Uncorrelated;1;25;21;28;-1.925071;0.468081;-4.112689;0.000267;0.063451;0.016640;3.813044;0.000612;0.062822;0.016725;3.756056;0.000716;0.000003;0.000000;0.003794;1.000000;0.000000;1.000000
"all_ages";"hisp";5;48;12;36;1655.692067;45.991446;Uncorrelated;2;31;30;32;3.456475;2.242867;1.541097;0.133440;-0.110148;0.069107;-1.593863;0.121113;-0.173598;0.071083;-2.442207;0.020498;0.219100;0.000000;6.627626;1.000000;0.000000;1.000000
"all_ages";"hisp";5;48;12;36;1655.692067;45.991446;Uncorrelated;3;34;33;35;-4.629242;2.191463;-2.112398;0.042808;0.127668;0.061597;2.072616;0.046611;0.237815;0.092575;2.568904;0.015238;0.000277;0.000000;0.004479;1.000000;0.000000;1.000000
"all_ages";"hisp";5;48;12;36;1655.692067;45.991446;Uncorrelated;4;37;36;38;4.544373;2.574418;1.765204;0.087380;-0.120268;0.066926;-1.797040;0.082079;-0.247936;0.090957;-2.725840;0.010454;5.030452;0.000000;0.119775;1.000000;0.000000;1.000000
"all_ages";"hisp";5;48;12;36;1655.692067;45.991446;Uncorrelated;5;40;39;43;-0.468154;0.346085;-1.352717;0.185931;0.005045;0.007742;0.651630;0.519442;0.125313;0.067372;1.860020;0.072394;0.004776;0.000000;0.000060;1.000000;0.000000;1.000000
